date,pool,threads,ws,rw_ratio,ltc,ltc_d,pattern,access,mode,ops,drops
Jun  9 06:02:16,ram_l,1,1,100,19,3,uniform,touch,Mem50,40704125,1
Jun  9 06:02:22,ram_l,1,10,100,28,3,uniform,touch,Mem50,37961023,3
Jun  9 06:02:28,ram_l,1,50,100,70,33,uniform,touch,Mem50,28945148,8
Jun  9 06:02:34,ram_l,1,100,100,86,23,uniform,touch,Mem50,26366340,10
Jun  9 06:02:40,ram_l,1,200,100,95,17,uniform,touch,Mem50,25160569,14
Jun  9 06:02:46,ram_l,1,500,100,100,16,uniform,touch,Mem50,24589430,37
Jun  9 06:02:51,ram_l,1,800,100,101,16,uniform,touch,Mem50,24343737,39
Jun  9 06:02:57,ram_l,1,1000,100,101,16,uniform,touch,Mem50,24431180,44
Jun  9 06:03:04,ram_l,1,1024,100,102,16,uniform,touch,Mem50,24277817,49
Jun  9 06:03:10,ram_l,1,2048,100,108,27,uniform,touch,Mem50,23662147,53
Jun  9 06:03:16,ram_l,1,3072,100,107,25,uniform,touch,Mem50,23697094,56
Jun  9 06:03:23,ram_l,1,4096,100,108,23,uniform,touch,Mem50,23598828,60
Jun  9 06:03:30,ram_l,1,5120,100,109,21,uniform,touch,Mem50,23549765,65
Jun  9 06:03:37,ram_l,1,6144,100,109,21,uniform,touch,Mem50,23509529,71
Jun  9 06:03:44,ram_l,1,7168,100,110,20,uniform,touch,Mem50,23441938,75
Jun  9 06:03:52,ram_l,1,8192,100,110,20,uniform,touch,Mem50,23304212,80
Jun  9 06:04:00,ram_l,1,9216,100,110,20,uniform,touch,Mem50,23327002,83
Jun  9 06:04:08,ram_l,1,10240,100,111,20,uniform,touch,Mem50,23316944,87
Jun  9 06:04:16,ram_l,1,11264,100,111,19,uniform,touch,Mem50,23297372,92
Jun  9 06:04:25,ram_l,1,12288,100,112,19,uniform,touch,Mem50,23229919,99
Jun  9 06:04:33,ram_l,1,13312,100,112,19,uniform,touch,Mem50,23248658,105
Jun  9 06:04:42,ram_l,1,14336,100,112,19,uniform,touch,Mem50,23204883,112
