date,pool,threads,sz,ws,rw_ratio,ltc,ltc_d,ops,pattern,offset,mode
Apr 28 09:11:54,ram_l,1,256,128,0,32,0.00,25158,uniform,random,Mem100
Apr 28 09:12:05,ram_l,1,256,128,33,58,0.00,15396,uniform,random,Mem100
Apr 28 09:12:16,ram_l,1,256,128,50,70,0.00,12951,uniform,random,Mem100
Apr 28 09:12:27,ram_l,1,256,128,66,80,0.00,11400,uniform,random,Mem100
Apr 28 09:12:38,ram_l,1,256,128,100,39,0.00,21444,uniform,random,Mem100
Apr 28 09:12:49,ram_l,2,256,128,0,33,0.05,48340,uniform,random,Mem100
Apr 28 09:12:59,ram_l,2,256,128,33,59,0.15,29807,uniform,random,Mem100
Apr 28 09:13:10,ram_l,2,256,128,50,74,0.10,24555,uniform,random,Mem100
Apr 28 09:13:21,ram_l,2,256,128,66,83,0.15,22157,uniform,random,Mem100
Apr 28 09:13:32,ram_l,2,256,128,100,40,0.00,41937,uniform,random,Mem100
Apr 28 09:13:43,ram_l,4,256,128,0,35,0.04,92657,uniform,random,Mem100
Apr 28 09:13:54,ram_l,4,256,128,33,61,0.15,57971,uniform,random,Mem100
Apr 28 09:14:04,ram_l,4,256,128,50,73,0.11,49693,uniform,random,Mem100
Apr 28 09:14:15,ram_l,4,256,128,66,84,0.27,43577,uniform,random,Mem100
Apr 28 09:14:26,ram_l,4,256,128,100,41,0.35,81185,uniform,random,Mem100
Apr 28 09:14:37,ram_l,8,256,128,0,43,0.08,156676,uniform,random,Mem100
Apr 28 09:14:48,ram_l,8,256,128,33,65,0.41,107914,uniform,random,Mem100
Apr 28 09:14:59,ram_l,8,256,128,50,80,0.60,90352,uniform,random,Mem100
Apr 28 09:15:10,ram_l,8,256,128,66,90,0.78,81091,uniform,random,Mem100
Apr 28 09:15:20,ram_l,8,256,128,100,46,0.35,147445,uniform,random,Mem100
Apr 28 09:15:31,ram_l,16,256,128,0,60,0.19,227967,uniform,random,Mem100
Apr 28 09:15:42,ram_l,16,256,128,33,77,0.36,183929,uniform,random,Mem100
Apr 28 09:15:53,ram_l,16,256,128,50,89,0.67,161443,uniform,random,Mem100
Apr 28 09:16:04,ram_l,16,256,128,66,98,0.83,148203,uniform,random,Mem100
Apr 28 09:16:15,ram_l,16,256,128,100,51,0.36,259843,uniform,random,Mem100
Apr 28 09:16:26,ram_l,32,256,128,0,116,0.84,246863,uniform,random,Mem100
Apr 28 09:16:36,ram_l,32,256,128,33,111,0.67,256780,uniform,random,Mem100
Apr 28 09:16:47,ram_l,32,256,128,50,113,0.90,253377,uniform,random,Mem100
Apr 28 09:16:58,ram_l,32,256,128,66,117,0.95,245070,uniform,random,Mem100
Apr 28 09:17:09,ram_l,32,256,128,100,62,0.83,421584,uniform,random,Mem100
Apr 28 09:17:20,ram_l,1,2048,1024,0,32,0.00,25087,uniform,random,Mem100
Apr 28 09:17:31,ram_l,1,2048,1024,33,61,0.00,14579,uniform,random,Mem100
Apr 28 09:17:42,ram_l,1,2048,1024,50,76,0.00,12022,uniform,random,Mem100
Apr 28 09:17:53,ram_l,1,2048,1024,66,88,0.00,10517,uniform,random,Mem100
Apr 28 09:18:04,ram_l,1,2048,1024,100,40,0.00,21159,uniform,random,Mem100
